filePath,dataLayerName,figmaName
src/components/Hero.tsx,hero.visual,Hero / Visual
src/components/Hero.tsx,hero.card-1,Hero / Card 1
src/components/Hero.tsx,hero.card-2,Hero / Card 2
src/components/Hero.tsx,hero.card-3,Hero / Card 3
src/components/WhyWeBuiltThis.tsx,why.ai-image-1,WhyWeBuiltThis / AI Image 1
src/components/WhyWeBuiltThis.tsx,why.ai-image-2,WhyWeBuiltThis / AI Image 2
src/components/WhyWeBuiltThis.tsx,why.ai-image-3,WhyWeBuiltThis / AI Image 3
src/components/WhyWeBuiltThis.tsx,why.ai-image-4,WhyWeBuiltThis / AI Image 4
src/components/Navbar.tsx,navbar.header,Navbar / Header
src/components/Navbar.tsx,navbar.banner,Navbar / Banner
src/components/Navbar.tsx,navbar.row,Navbar / Nav Row
src/components/Navbar.tsx,navbar.logo,Navbar / Logo
src/components/Navbar.tsx,navbar.links,Navbar / Links
src/components/Navbar.tsx,navbar.cta-group,Navbar / CTA Group
src/components/Navbar.tsx,navbar.cta-popover,Navbar / CTA Popover
src/components/Navbar.tsx,navbar.mobile-drawer,Navbar / Mobile Drawer
src/components/AppMockups.tsx,appmockups.section,AppMockups / Section
src/components/AppMockups.tsx,appmockups.features,AppMockups / Features Column
src/components/AppMockups.tsx,appmockups.phone-container,AppMockups / Phone Container
src/components/AppMockups.tsx,appmockups.phone-frame,AppMockups / Phone Frame
src/components/AppMockups.tsx,appmockups.screen-canvas,AppMockups / Screen Canvas
src/components/AppMockups.tsx,appmockups.floating-note,AppMockups / Floating Note
src/components/ContactFormModal.tsx,contact.modal-root,ContactModal / Root
src/components/ContactFormModal.tsx,contact.backdrop,ContactModal / Backdrop
src/components/ContactFormModal.tsx,contact.modal,ContactModal / Panel
src/components/ContactFormModal.tsx,contact.role-banner,ContactModal / Role Banner
src/components/ContactFormModal.tsx,contact.close-btn,ContactModal / Close Button
src/components/ContactFormModal.tsx,contact.form,ContactModal / Form
src/components/ContactFormModal.tsx,contact.success,ContactModal / Success Panel
src/components/Footer.tsx,footer.root,Footer / Root
src/components/Footer.tsx,footer.columns,Footer / Columns
src/components/Footer.tsx,footer.cta,Footer / CTA
src/components/FAQs.tsx,faqs.section,FAQs / Section
src/components/FAQs.tsx,faqs.contact-card,FAQs / Contact Card
src/components/FAQs.tsx,faq.faq1,FAQ / Can reports be anonymous?
src/components/FAQs.tsx,faq.faq2,FAQ / Who receives the reports?
src/components/FAQs.tsx,faq.faq3,FAQ / How does escalation work?
src/components/FAQs.tsx,faq.faq4,FAQ / Is the app only for schools?
src/components/FAQs.tsx,faq.faq5,FAQ / Can parents monitor reports?
src/components/FAQs.tsx,faq.faq6,FAQ / What happens if no authority responds?
